epoch,accuracy,dice_coeff,loss,lr,mean_absolute_error,mean_io_u,my_haud_dist,my_iou_metric,precision,recall,val_accuracy,val_dice_coeff,val_loss,val_mean_absolute_error,val_mean_io_u,val_my_haud_dist,val_my_iou_metric,val_precision,val_recall
0,0.37351226806640625,0.2744137644767761,0.43535059690475464,0.001,0.5655723214149475,0.361419677734375,9.223766326904297,0.0,0.12876810133457184,0.21859171986579895,0.41085052490234375,0.03317158296704292,0.5800950527191162,0.5796846151351929,0.3642578125,11.167845726013184,0.0,0.012550047598779202,0.015062949620187283
1,0.55224609375,0.3871995210647583,0.36768096685409546,0.001,0.481006383895874,0.361419677734375,8.22616195678711,0.0,0.3447437882423401,0.6833571791648865,0.68701171875,0.17933188378810883,0.4924010932445526,0.37819087505340576,0.3642578125,8.743654251098633,0.0,0.1859847605228424,0.045273154973983765
2,0.6127395629882812,0.44518324732780457,0.3328905403614044,0.001,0.43412619829177856,0.361419677734375,8.217236518859863,0.0,0.4038330912590027,0.8340674042701721,0.601226806640625,0.5435004234313965,0.2738995850086212,0.40275317430496216,0.3642578125,9.951685905456543,0.0011111111380159855,0.40071648359298706,0.9461836814880371
3,0.623199462890625,0.461066871881485,0.3233594298362732,0.001,0.4228559136390686,0.361419677734375,8.251958847045898,0.0,0.4184728264808655,0.9226492047309875,0.596435546875,0.5583436489105225,0.26499447226524353,0.4057844877243042,0.3642578125,10.362414360046387,0.0022727272007614374,0.3986416757106781,0.9567221403121948
4,0.62823486328125,0.4639396369457245,0.32163703441619873,0.001,0.4195025563240051,0.361419677734375,8.23417854309082,0.0,0.4218040704727173,0.9206122159957886,0.5952911376953125,0.5609486699104309,0.2634311318397522,0.40590396523475647,0.3642578125,10.401433944702148,0.0022727272007614374,0.39822348952293396,0.9600382447242737
5,0.6286239624023438,0.4664192199707031,0.32014763355255127,0.001,0.41761088371276855,0.361419677734375,8.169539451599121,0.0,0.42275020480155945,0.9301365613937378,0.5942153930664062,0.5619960427284241,0.2628021836280823,0.4060743749141693,0.3642578125,10.436864852905273,0.0035714285913854837,0.39780789613723755,0.9628484845161438
6,0.6271743774414062,0.4694841206073761,0.31830894947052,0.001,0.41539663076400757,0.361419677734375,8.175342559814453,0.0,0.4224100708961487,0.9395507574081421,0.59375,0.5625119805335999,0.2624928951263428,0.40626925230026245,0.3642578125,10.456856727600098,0.0035714285913854837,0.397623747587204,0.9640007019042969
7,0.6256027221679688,0.4714825451374054,0.31711044907569885,0.001,0.4139559864997864,0.361419677734375,8.169590950012207,0.0,0.42157018184661865,0.9428815245628357,0.5932540893554688,0.5627475380897522,0.2623518109321594,0.4065442383289337,0.36404111981391907,10.46648120880127,0.004999999888241291,0.39740756154060364,0.9649842381477356
8,0.6259002685546875,0.47224196791648865,0.31665515899658203,0.001,0.41328275203704834,0.361419677734375,8.20918083190918,0.0,0.4219571650028229,0.9455240964889526,0.5927200317382812,0.5627987384796143,0.26232126355171204,0.4069348871707916,0.3641897439956665,10.470650672912598,0.0062500000931322575,0.39716434478759766,0.9659116268157959
9,0.6251068115234375,0.4724618196487427,0.3165229856967926,0.001,0.41294121742248535,0.361419677734375,8.129286766052246,0.0,0.42144572734832764,0.9459095001220703,0.5925750732421875,0.5627085566520691,0.2623748779296875,0.40744316577911377,0.36383453011512756,10.471602439880371,0.004999999888241291,0.39717933535575867,0.9671200513839722
10,0.6264114379882812,0.47314387559890747,0.3161138892173767,0.001,0.41211313009262085,0.361419677734375,8.115971565246582,0.0,0.4222205877304077,0.9443129301071167,0.5920486450195312,0.5625129342079163,0.26249271631240845,0.4080488681793213,0.3665722906589508,10.470006942749023,0.0062500000931322575,0.3969179689884186,0.9677664041519165
11,0.6275100708007812,0.4747491180896759,0.31515029072761536,0.001,0.41046905517578125,0.361419677734375,8.133698463439941,0.0,0.42304423451423645,0.9453864693641663,0.591400146484375,0.5622607469558716,0.2626428008079529,0.4086880087852478,0.3731209933757782,10.466389656066895,0.0055555556900799274,0.3965485394001007,0.9679912328720093
12,0.6295547485351562,0.47522199153900146,0.3148658573627472,0.001,0.40973860025405884,0.361419677734375,8.105759620666504,0.0,0.4244360625743866,0.9452488422393799,0.5908966064453125,0.5619645714759827,0.26282140612602234,0.4093516767024994,0.3783419132232666,10.461220741271973,0.0055555556900799274,0.3962975740432739,0.9685813784599304
13,0.6313858032226562,0.4768330454826355,0.31390079855918884,0.001,0.408100426197052,0.361419677734375,8.106675148010254,0.0,0.42567306756973267,0.9448634386062622,0.5905609130859375,0.5616530179977417,0.26300814747810364,0.4099957346916199,0.3782511055469513,10.455350875854492,0.0062500000931322575,0.3961401581764221,0.9690872430801392
14,0.6352310180664062,0.47685614228248596,0.31388622522354126,0.001,0.4076274335384369,0.361419677734375,8.122926712036133,0.0,0.4281405210494995,0.9416428208351135,0.5901412963867188,0.5613632202148438,0.26318272948265076,0.41057872772216797,0.37116801738739014,10.449907302856445,0.0062500000931322575,0.39590197801589966,0.9692277312278748
15,0.6385650634765625,0.4782755672931671,0.3130342364311218,0.001,0.40619733929634094,0.361419677734375,8.064242362976074,0.0,0.4305020868778229,0.9417529106140137,0.589599609375,0.5610930919647217,0.263343870639801,0.41108590364456177,0.36465227603912354,10.444557189941406,0.004166666883975267,0.39559632539749146,0.9694244861602783
