epoch,accuracy,dice_coeff,loss,lr,mean_absolute_error,mean_io_u_20,my_haud_dist,my_iou_metric,precision_20,recall_20,val_accuracy,val_dice_coeff,val_loss,val_mean_absolute_error,val_mean_io_u_20,val_my_haud_dist,val_my_iou_metric,val_precision_20,val_recall_20
0,0.6009750366210938,0.4237119257450104,0.34577232599258423,0.001,0.4509614408016205,0.361419677734375,7.956703186035156,0.0,0.38601624965667725,0.7445221543312073,0.56427001953125,0.5369578003883362,0.27782461047172546,0.44152021408081055,0.3642578125,10.248311996459961,0.0,0.38307371735572815,0.9910352826118469
1,0.6284942626953125,0.45934876799583435,0.32439133524894714,0.001,0.42324092984199524,0.361419677734375,8.114527702331543,0.0,0.4198012948036194,0.8909105658531189,0.5741424560546875,0.553032636642456,0.268180787563324,0.4265036880970001,0.3642578125,10.50528621673584,0.008333333767950535,0.38838014006614685,0.9892648458480835
2,0.6194000244140625,0.4663195312023163,0.3202080726623535,0.001,0.4190012812614441,0.361419677734375,8.143274307250977,0.0,0.4173957407474518,0.9429090619087219,0.5805511474609375,0.5580701231956482,0.2651587128639221,0.4196585416793823,0.3642578125,10.532020568847656,0.008333333767950535,0.3917697072029114,0.9864264726638794
3,0.617828369140625,0.46833088994026184,0.31900084018707275,0.001,0.4176179766654968,0.361419677734375,8.239680290222168,0.0,0.4174879491329193,0.9585168361663818,0.5831527709960938,0.5600347518920898,0.2639797627925873,0.4164823293685913,0.3642578125,10.570745468139648,0.0071428571827709675,0.39310839772224426,0.9845716953277588
4,0.6193771362304688,0.4700620472431183,0.3179626762866974,0.001,0.4162284731864929,0.361419677734375,8.219985961914062,0.0,0.4187837541103363,0.9624256491661072,0.5850296020507812,0.5608340501785278,0.26349982619285583,0.41501376032829285,0.3642578125,10.571510314941406,0.0035714285913854837,0.3940701484680176,0.9830822944641113
5,0.6212692260742188,0.4715411365032196,0.31707534193992615,0.001,0.4148668050765991,0.361419677734375,8.265705108642578,0.0,0.41970154643058777,0.957718551158905,0.5857620239257812,0.5611761212348938,0.26329442858695984,0.41430115699768066,0.3642578125,10.545600891113281,0.0055555556900799274,0.39443010091781616,0.9822953939437866
6,0.6241912841796875,0.4726962745189667,0.3163827657699585,0.001,0.4136938452720642,0.361419677734375,8.264538764953613,0.0,0.4214383065700531,0.954663097858429,0.5860824584960938,0.5613110065460205,0.2632139027118683,0.41392260789871216,0.3642578125,10.531536102294922,0.004545454401522875,0.39457425475120544,0.9817895889282227
7,0.6250457763671875,0.4732809364795685,0.31603220105171204,0.001,0.41296282410621643,0.361419677734375,8.314436912536621,0.0,0.4217842221260071,0.9513598084449768,0.586273193359375,0.5613334774971008,0.2631995379924774,0.4137011766433716,0.3642578125,10.523249626159668,0.0055555556900799274,0.39465951919555664,0.9814804196357727
8,0.6268692016601562,0.4742472171783447,0.31545236706733704,0.001,0.41189947724342346,0.361419677734375,8.309850692749023,0.0,0.4229501783847809,0.9503688812255859,0.5865554809570312,0.5613324046134949,0.26319974660873413,0.4134668707847595,0.3642578125,10.51662540435791,0.0055555556900799274,0.39482223987579346,0.9814523458480835
9,0.6272048950195312,0.4751988351345062,0.3148804306983948,0.001,0.4109218418598175,0.361419677734375,8.320332527160645,0.0,0.42327797412872314,0.9518277645111084,0.5869293212890625,0.5613275766372681,0.26320308446884155,0.4131913185119629,0.3642578125,10.511672019958496,0.0062500000931322575,0.39503392577171326,0.9813680052757263
10,0.6275863647460938,0.47639185190200806,0.3141639530658722,0.001,0.40968745946884155,0.361419677734375,8.332029342651367,0.0,0.42366620898246765,0.953727126121521,0.58721923828125,0.561327338218689,0.26320308446884155,0.4128016233444214,0.3642578125,10.508203506469727,0.008333333767950535,0.39518484473228455,0.9811432361602783
11,0.6299819946289062,0.47732013463974,0.31360700726509094,0.001,0.40875208377838135,0.361419677734375,8.333197593688965,0.0,0.42528268694877625,0.9534794092178345,0.5876541137695312,0.5612848997116089,0.2632293105125427,0.4123665988445282,0.3642578125,10.508103370666504,0.0062500000931322575,0.3954305052757263,0.9810308218002319
12,0.6307754516601562,0.4785807132720947,0.3128511309623718,0.001,0.40761277079582214,0.361419677734375,8.350465774536133,0.0,0.4259229600429535,0.9549383521080017,0.5878677368164062,0.5610599517822266,0.263363778591156,0.4121427536010742,0.3642578125,10.513019561767578,0.0062500000931322575,0.3955535888671875,0.981002688407898
13,0.6343231201171875,0.4801993668079376,0.31188127398490906,0.001,0.4060302674770355,0.361419677734375,8.323877334594727,0.0,0.4281342923641205,0.9513047933578491,0.5877838134765625,0.5605764985084534,0.2636537253856659,0.41221654415130615,0.3642578125,10.49829387664795,0.004166666883975267,0.3955185115337372,0.9811713099479675
14,0.6374969482421875,0.48089903593063354,0.3114616274833679,0.001,0.4049369692802429,0.361419677734375,8.309603691101074,0.0,0.4300525188446045,0.9465701580047607,0.5875473022460938,0.5598644018173218,0.2640809714794159,0.4125669002532959,0.3642578125,10.4774751663208,0.004166666883975267,0.3954080641269684,0.9815085530281067
15,0.6464385986328125,0.48171111941337585,0.3109739422798157,0.001,0.4037212133407593,0.361419677734375,8.285347938537598,0.0,0.4359767735004425,0.9385597705841064,0.5870285034179688,0.5589721202850342,0.2646172344684601,0.4130442142486572,0.3642578125,10.448812484741211,0.003846153849735856,0.3951300084590912,0.9818176627159119
